frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
26.96,-1.08,-4.20,-1.08,-4.20,4.20,4.39,3.91,3.12,3.12,3.12
27.23,-1.01,-4.13,-1.01,-4.13,4.12,4.30,3.99,3.12,3.12,3.12
27.50,-0.94,-4.06,-0.94,-4.06,4.05,4.21,4.06,3.11,3.12,3.12
27.77,-0.86,-4.00,-0.86,-3.99,3.99,4.12,4.13,3.13,3.13,3.13
28.05,-0.79,-3.92,-0.79,-3.92,3.93,4.03,4.20,3.15,3.15,3.13
28.33,-0.72,-3.85,-0.73,-3.86,3.88,3.94,4.26,3.16,3.15,3.13
28.62,-0.69,-3.82,-0.69,-3.82,3.83,3.85,4.31,3.14,3.14,3.13
28.90,-0.66,-3.80,-0.66,-3.79,3.79,3.76,4.36,3.12,3.13,3.14
29.19,-0.63,-3.77,-0.63,-3.76,3.74,3.67,4.41,3.11,3.12,3.14
29.48,-0.58,-3.71,-0.58,-3.72,3.70,3.58,4.44,3.12,3.12,3.13
29.78,-0.53,-3.66,-0.53,-3.66,3.66,3.49,4.47,3.13,3.13,3.13
30.08,-0.47,-3.61,-0.47,-3.61,3.61,3.41,4.50,3.14,3.14,3.14
30.38,-0.42,-3.55,-0.42,-3.55,3.56,3.32,4.51,3.14,3.14,3.13
30.68,-0.37,-3.50,-0.37,-3.50,3.50,3.23,4.52,3.13,3.13,3.13
30.99,-0.32,-3.44,-0.32,-3.44,3.44,3.15,4.52,3.13,3.13,3.13
31.30,-0.27,-3.39,-0.27,-3.39,3.38,3.06,4.51,3.12,3.11,3.12
31.61,-0.21,-3.34,-0.21,-3.33,3.32,2.98,4.49,3.10,3.11,3.12
31.93,-0.15,-3.26,-0.14,-3.26,3.26,2.89,4.46,3.11,3.11,3.11
32.24,-0.07,-3.19,-0.07,-3.18,3.19,2.81,4.43,3.12,3.12,3.12
32.57,0.00,-3.10,-0.00,-3.11,3.12,2.73,4.39,3.13,3.12,3.11
32.89,0.06,-3.04,0.06,-3.04,3.05,2.65,4.34,3.12,3.11,3.10
33.22,0.11,-2.99,0.12,-2.99,2.98,2.57,4.28,3.10,3.10,3.10
33.55,0.17,-2.93,0.17,-2.92,2.91,2.49,4.22,3.08,3.08,3.10
33.89,0.24,-2.85,0.24,-2.85,2.84,2.41,4.15,3.08,3.08,3.10
34.23,0.32,-2.76,0.32,-2.76,2.77,2.34,4.07,3.09,3.09,3.08
34.57,0.40,-2.68,0.39,-2.69,2.70,2.26,3.99,3.10,3.09,3.08
34.92,0.45,-2.61,0.45,-2.62,2.63,2.19,3.90,3.08,3.08,3.07
35.27,0.51,-2.57,0.51,-2.56,2.56,2.12,3.81,3.06,3.07,3.07
35.62,0.56,-2.49,0.56,-2.49,2.49,2.04,3.72,3.05,3.05,3.05
35.97,0.62,-2.43,0.62,-2.42,2.42,1.97,3.62,3.04,3.04,3.05
36.33,0.68,-2.35,0.68,-2.35,2.36,1.90,3.52,3.04,3.04,3.03
36.70,0.74,-2.28,0.74,-2.28,2.29,1.83,3.42,3.03,3.03,3.02
37.06,0.78,-2.22,0.78,-2.22,2.22,1.76,3.31,3.01,3.00,3.01
37.43,0.83,-2.17,0.83,-2.16,2.15,1.70,3.20,2.98,2.98,2.99
37.81,0.88,-2.10,0.88,-2.10,2.08,1.63,3.10,2.95,2.96,2.98
38.19,0.95,-2.01,0.95,-2.01,2.01,1.56,2.99,2.96,2.96,2.96
38.57,1.03,-1.92,1.02,-1.93,1.94,1.50,2.88,2.97,2.96,2.95
38.95,1.09,-1.85,1.08,-1.85,1.87,1.44,2.77,2.96,2.96,2.94
39.34,1.13,-1.78,1.13,-1.78,1.80,1.37,2.66,2.93,2.94,2.91
39.74,1.17,-1.73,1.17,-1.73,1.74,1.31,2.55,2.90,2.91,2.90
40.14,1.21,-1.68,1.21,-1.68,1.67,1.25,2.45,2.87,2.87,2.88
40.54,1.25,-1.62,1.25,-1.62,1.60,1.19,2.34,2.84,2.84,2.87
40.94,1.29,-1.55,1.29,-1.55,1.53,1.13,2.23,2.82,2.82,2.84
41.35,1.35,-1.48,1.36,-1.47,1.45,1.07,2.13,2.80,2.81,2.83
41.76,1.43,-1.37,1.43,-1.38,1.38,1.01,2.02,2.81,2.81,2.80
42.18,1.50,-1.28,1.49,-1.29,1.31,0.95,1.92,2.81,2.80,2.78
42.60,1.55,-1.20,1.55,-1.21,1.23,0.89,1.81,2.78,2.78,2.76
43.03,1.59,-1.14,1.59,-1.14,1.15,0.83,1.71,2.74,2.74,2.73
43.46,1.63,-1.07,1.63,-1.07,1.07,0.77,1.61,2.70,2.70,2.70
43.90,1.68,-1.00,1.68,-1.00,0.99,0.72,1.51,2.66,2.66,2.68
44.33,1.73,-0.92,1.73,-0.92,0.91,0.66,1.41,2.63,2.63,2.65
44.78,1.78,-0.84,1.78,-0.84,0.83,0.60,1.31,2.61,2.61,2.62
45.23,1.85,-0.76,1.85,-0.75,0.75,0.55,1.22,2.60,2.60,2.60
45.68,1.91,-0.65,1.91,-0.65,0.67,0.49,1.12,2.58,2.58,2.57
46.13,1.98,-0.55,1.97,-0.57,0.58,0.44,1.03,2.56,2.55,2.53
46.60,2.01,-0.49,2.00,-0.49,0.50,0.38,0.94,2.51,2.50,2.50
47.06,2.03,-0.44,2.04,-0.43,0.42,0.33,0.84,2.45,2.45,2.47
47.53,2.06,-0.38,2.07,-0.36,0.34,0.27,0.75,2.40,2.41,2.44
48.01,2.12,-0.27,2.12,-0.28,0.27,0.22,0.66,2.39,2.39,2.39
48.49,2.17,-0.19,2.16,-0.20,0.21,0.16,0.57,2.38,2.37,2.36
48.97,2.21,-0.11,2.20,-0.12,0.15,0.11,0.49,2.36,2.35,2.32
49.46,2.21,-0.08,2.21,-0.07,0.10,0.05,0.40,2.31,2.31,2.29
49.96,2.21,-0.03,2.21,-0.03,0.05,-0.00,0.31,2.25,2.26,2.24
50.46,2.21,0.00,2.20,-0.01,-0.01,-0.06,0.23,2.20,2.19,2.20
50.96,2.21,0.03,2.20,0.03,-0.07,-0.11,0.15,2.14,2.13,2.17
51.47,2.21,0.07,2.22,0.09,-0.13,-0.17,0.07,2.08,2.09,2.14
51.99,2.27,0.17,2.27,0.17,-0.19,-0.22,-0.02,2.07,2.07,2.10
52.51,2.33,0.27,2.33,0.26,-0.26,-0.28,-0.10,2.07,2.07,2.06
53.03,2.40,0.36,2.39,0.36,-0.32,-0.33,-0.17,2.08,2.07,2.04
53.56,2.43,0.43,2.42,0.43,-0.38,-0.39,-0.25,2.04,2.04,1.99
54.10,2.43,0.48,2.43,0.48,-0.45,-0.45,-0.33,1.98,1.99,1.95
54.64,2.43,0.51,2.43,0.52,-0.51,-0.50,-0.40,1.92,1.92,1.91
55.18,2.43,0.56,2.42,0.55,-0.57,-0.56,-0.47,1.86,1.85,1.87
55.74,2.43,0.60,2.42,0.59,-0.63,-0.62,-0.54,1.80,1.79,1.83
56.29,2.43,0.62,2.44,0.64,-0.68,-0.67,-0.61,1.74,1.76,1.80
56.86,2.49,0.71,2.50,0.73,-0.74,-0.73,-0.68,1.75,1.76,1.78
57.42,2.57,0.84,2.57,0.83,-0.80,-0.79,-0.75,1.77,1.76,1.73
58.00,2.65,0.95,2.63,0.92,-0.87,-0.85,-0.81,1.77,1.75,1.70
58.58,2.66,0.98,2.65,0.97,-0.95,-0.90,-0.87,1.71,1.70,1.68
59.16,2.66,1.01,2.66,1.01,-1.04,-0.96,-0.93,1.62,1.62,1.65
59.76,2.66,1.04,2.68,1.07,-1.12,-1.02,-0.99,1.54,1.56,1.62
60.35,2.73,1.17,2.74,1.16,-1.20,-1.08,-1.04,1.53,1.53,1.57
60.96,2.81,1.28,2.80,1.28,-1.28,-1.14,-1.10,1.53,1.52,1.52
61.57,2.88,1.41,2.86,1.39,-1.35,-1.20,-1.15,1.53,1.51,1.47
62.18,2.88,1.46,2.88,1.46,-1.42,-1.26,-1.20,1.46,1.46,1.42
62.80,2.88,1.50,2.88,1.51,-1.49,-1.32,-1.24,1.39,1.40,1.37
63.43,2.88,1.55,2.88,1.55,-1.55,-1.38,-1.29,1.33,1.33,1.33
64.07,2.88,1.58,2.88,1.58,-1.59,-1.43,-1.33,1.28,1.28,1.29
64.71,2.88,1.62,2.88,1.62,-1.63,-1.49,-1.37,1.24,1.24,1.26
65.35,2.88,1.66,2.88,1.66,-1.67,-1.55,-1.41,1.21,1.21,1.22
66.01,2.88,1.70,2.88,1.69,-1.70,-1.61,-1.44,1.18,1.18,1.18
66.67,2.88,1.73,2.88,1.73,-1.73,-1.66,-1.48,1.14,1.14,1.15
67.33,2.88,1.78,2.88,1.77,-1.77,-1.72,-1.51,1.11,1.11,1.10
68.01,2.88,1.82,2.88,1.81,-1.81,-1.77,-1.55,1.06,1.06,1.06
68.69,2.88,1.86,2.88,1.85,-1.85,-1.82,-1.58,1.02,1.02,1.02
69.37,2.88,1.89,2.88,1.89,-1.90,-1.87,-1.61,0.98,0.98,0.99
70.07,2.88,1.93,2.88,1.93,-1.94,-1.92,-1.64,0.93,0.93,0.95
70.77,2.88,1.98,2.88,1.98,-1.99,-1.96,-1.67,0.89,0.89,0.90
71.48,2.88,2.02,2.88,2.02,-2.03,-2.00,-1.69,0.85,0.85,0.86
72.19,2.88,2.07,2.88,2.07,-2.07,-2.03,-1.72,0.81,0.81,0.81
72.91,2.88,2.11,2.87,2.11,-2.10,-2.06,-1.75,0.78,0.77,0.76
73.64,2.85,2.13,2.85,2.13,-2.12,-2.09,-1.78,0.73,0.73,0.72
74.38,2.81,2.13,2.82,2.14,-2.12,-2.11,-1.81,0.69,0.69,0.68
75.12,2.77,2.13,2.76,2.12,-2.11,-2.12,-1.84,0.66,0.65,0.64
75.87,2.70,2.09,2.70,2.09,-2.09,-2.12,-1.87,0.61,0.61,0.61
76.63,2.62,2.05,2.62,2.05,-2.05,-2.12,-1.90,0.57,0.57,0.57
77.40,2.54,2.00,2.53,1.99,-1.99,-2.10,-1.93,0.54,0.54,0.54
78.17,2.43,1.93,2.43,1.93,-1.93,-2.08,-1.96,0.50,0.50,0.50
78.95,2.31,1.84,2.32,1.85,-1.85,-2.04,-2.00,0.46,0.47,0.47
79.74,2.20,1.76,2.19,1.76,-1.76,-1.99,-2.03,0.44,0.43,0.44
80.54,2.07,1.66,2.07,1.66,-1.66,-1.93,-2.07,0.40,0.41,0.40
81.35,1.93,1.57,1.94,1.56,-1.56,-1.85,-2.10,0.38,0.38,0.37
82.16,1.80,1.46,1.79,1.45,-1.45,-1.75,-2.14,0.35,0.34,0.34
82.98,1.64,1.34,1.64,1.34,-1.34,-1.64,-2.18,0.31,0.31,0.30
83.81,1.49,1.22,1.49,1.22,-1.22,-1.51,-2.23,0.26,0.27,0.27
84.65,1.33,1.11,1.34,1.11,-1.11,-1.37,-2.27,0.22,0.23,0.23
85.50,1.19,1.01,1.19,1.00,-1.00,-1.21,-2.32,0.19,0.19,0.19
86.35,1.05,0.89,1.05,0.90,-0.89,-1.05,-2.36,0.16,0.16,0.16
87.22,0.92,0.79,0.92,0.80,-0.80,-0.88,-2.41,0.12,0.12,0.13
88.09,0.80,0.72,0.80,0.71,-0.71,-0.71,-2.47,0.09,0.09,0.09
88.97,0.68,0.63,0.69,0.64,-0.63,-0.57,-2.52,0.05,0.06,0.05
89.86,0.59,0.58,0.59,0.58,-0.57,-0.45,-2.58,0.02,0.02,0.01
90.76,0.51,0.54,0.50,0.53,-0.53,-0.37,-2.63,-0.02,-0.03,-0.02
91.66,0.44,0.50,0.45,0.51,-0.51,-0.34,-2.69,-0.08,-0.07,-0.07
92.58,0.41,0.51,0.41,0.51,-0.52,-0.37,-2.75,-0.11,-0.12,-0.10
93.51,0.41,0.54,0.40,0.53,-0.56,-0.45,-2.82,-0.15,-0.17,-0.14
94.44,0.41,0.58,0.43,0.60,-0.63,-0.58,-2.88,-0.22,-0.20,-0.17
95.39,0.48,0.70,0.49,0.70,-0.72,-0.76,-2.95,-0.24,-0.24,-0.22
96.34,0.59,0.85,0.58,0.84,-0.84,-0.96,-3.02,-0.25,-0.26,-0.26
97.30,0.69,0.99,0.69,1.00,-0.98,-1.17,-3.09,-0.29,-0.29,-0.30
98.28,0.82,1.16,0.81,1.16,-1.14,-1.40,-3.16,-0.33,-0.33,-0.35
99.26,0.94,1.34,0.94,1.33,-1.32,-1.62,-3.23,-0.37,-0.38,-0.39
100.25,1.07,1.50,1.08,1.51,-1.50,-1.83,-3.31,-0.43,-0.42,-0.43
101.25,1.23,1.69,1.22,1.69,-1.69,-2.04,-3.38,-0.47,-0.47,-0.46
102.27,1.38,1.88,1.38,1.88,-1.89,-2.23,-3.46,-0.51,-0.51,-0.50
103.29,1.54,2.07,1.55,2.08,-2.09,-2.41,-3.53,-0.55,-0.55,-0.53
104.32,1.72,2.29,1.72,2.29,-2.30,-2.57,-3.61,-0.57,-0.57,-0.56
105.37,1.91,2.51,1.90,2.50,-2.50,-2.73,-3.69,-0.60,-0.60,-0.60
106.42,2.09,2.71,2.08,2.71,-2.70,-2.87,-3.76,-0.62,-0.62,-0.63
107.48,2.24,2.92,2.25,2.92,-2.90,-3.01,-3.84,-0.65,-0.65,-0.68
108.56,2.40,3.10,2.40,3.10,-3.08,-3.13,-3.92,-0.68,-0.68,-0.70
109.64,2.54,3.28,2.53,3.27,-3.25,-3.25,-3.99,-0.72,-0.73,-0.74
110.74,2.64,3.42,2.64,3.42,-3.42,-3.36,-4.06,-0.78,-0.78,-0.78
111.85,2.74,3.56,2.75,3.56,-3.57,-3.46,-4.13,-0.83,-0.83,-0.82
112.97,2.85,3.70,2.85,3.70,-3.72,-3.56,-4.20,-0.87,-0.87,-0.85
114.10,2.95,3.84,2.95,3.85,-3.86,-3.66,-4.26,-0.90,-0.90,-0.89
115.24,3.06,3.99,3.05,3.99,-3.99,-3.75,-4.32,-0.93,-0.94,-0.94
116.39,3.15,4.13,3.14,4.12,-4.12,-3.83,-4.38,-0.97,-0.98,-0.98
117.55,3.22,4.24,3.22,4.25,-4.24,-3.92,-4.43,-1.02,-1.02,-1.02
118.73,3.30,4.36,3.30,4.36,-4.36,-4.00,-4.48,-1.06,-1.06,-1.06
119.92,3.38,4.47,3.38,4.47,-4.47,-4.07,-4.53,-1.10,-1.09,-1.10
121.12,3.46,4.58,3.46,4.59,-4.57,-4.15,-4.57,-1.12,-1.12,-1.12
122.33,3.53,4.70,3.52,4.69,-4.67,-4.22,-4.60,-1.13,-1.15,-1.16
123.55,3.57,4.77,3.57,4.77,-4.76,-4.30,-4.63,-1.19,-1.19,-1.20
124.79,3.60,4.83,3.60,4.84,-4.85,-4.37,-4.66,-1.25,-1.25,-1.23
126.03,3.62,4.89,3.63,4.90,-4.93,-4.44,-4.68,-1.31,-1.30,-1.27
127.29,3.67,4.98,3.68,4.99,-5.00,-4.51,-4.69,-1.33,-1.33,-1.31
128.57,3.72,5.08,3.72,5.08,-5.07,-4.57,-4.70,-1.35,-1.35,-1.35
129.85,3.77,5.17,3.76,5.15,-5.13,-4.64,-4.71,-1.36,-1.37,-1.39
131.15,3.78,5.21,3.78,5.21,-5.19,-4.70,-4.71,-1.41,-1.41,-1.43
132.46,3.78,5.25,3.78,5.25,-5.24,-4.77,-4.70,-1.46,-1.46,-1.47
133.79,3.78,5.29,3.78,5.28,-5.29,-4.83,-4.69,-1.51,-1.51,-1.51
135.12,3.78,5.32,3.78,5.32,-5.33,-4.89,-4.68,-1.55,-1.55,-1.54
136.48,3.78,5.35,3.78,5.35,-5.36,-4.95,-4.66,-1.58,-1.58,-1.57
137.84,3.78,5.38,3.78,5.39,-5.39,-5.01,-4.64,-1.61,-1.61,-1.61
139.22,3.78,5.43,3.78,5.42,-5.42,-5.07,-4.62,-1.64,-1.64,-1.65
140.61,3.78,5.45,3.78,5.45,-5.45,-5.13,-4.60,-1.67,-1.67,-1.67
142.02,3.78,5.48,3.78,5.48,-5.48,-5.18,-4.57,-1.70,-1.70,-1.71
143.44,3.78,5.52,3.78,5.51,-5.51,-5.24,-4.55,-1.74,-1.74,-1.74
144.87,3.78,5.54,3.78,5.54,-5.55,-5.29,-4.52,-1.77,-1.77,-1.76
146.32,3.78,5.57,3.78,5.57,-5.58,-5.34,-4.49,-1.80,-1.80,-1.79
147.78,3.78,5.60,3.78,5.60,-5.60,-5.39,-4.46,-1.83,-1.83,-1.82
149.26,3.78,5.62,3.78,5.62,-5.63,-5.44,-4.43,-1.85,-1.85,-1.85
150.75,3.77,5.65,3.77,5.65,-5.64,-5.49,-4.41,-1.87,-1.87,-1.88
152.26,3.76,5.66,3.76,5.67,-5.65,-5.53,-4.38,-1.89,-1.89,-1.90
153.78,3.74,5.68,3.74,5.67,-5.65,-5.58,-4.36,-1.91,-1.91,-1.94
155.32,3.70,5.66,3.69,5.66,-5.65,-5.62,-4.33,-1.95,-1.95,-1.96
156.88,3.64,5.63,3.64,5.64,-5.64,-5.66,-4.31,-2.00,-2.00,-2.00
158.44,3.58,5.60,3.58,5.61,-5.62,-5.69,-4.29,-2.05,-2.04,-2.03
160.03,3.53,5.59,3.53,5.59,-5.61,-5.73,-4.27,-2.08,-2.08,-2.06
161.63,3.49,5.58,3.48,5.58,-5.60,-5.76,-4.26,-2.11,-2.11,-2.09
163.24,3.45,5.58,3.45,5.58,-5.58,-5.79,-4.25,-2.13,-2.13,-2.13
164.88,3.41,5.57,3.41,5.57,-5.56,-5.81,-4.24,-2.16,-2.15,-2.16
166.53,3.37,5.57,3.37,5.57,-5.55,-5.84,-4.23,-2.18,-2.18,-2.20
168.19,3.33,5.56,3.32,5.56,-5.54,-5.86,-4.23,-2.21,-2.22,-2.23
169.87,3.27,5.54,3.26,5.53,-5.53,-5.88,-4.23,-2.27,-2.27,-2.27
171.57,3.20,5.51,3.20,5.51,-5.53,-5.90,-4.23,-2.33,-2.33,-2.31
173.29,3.14,5.48,3.15,5.49,-5.52,-5.91,-4.23,-2.38,-2.37,-2.34
175.02,3.13,5.50,3.13,5.50,-5.51,-5.92,-4.24,-2.39,-2.38,-2.38
176.77,3.12,5.53,3.11,5.52,-5.50,-5.93,-4.26,-2.39,-2.39,-2.41
178.54,3.10,5.54,3.08,5.53,-5.50,-5.93,-4.27,-2.40,-2.41,-2.45
180.32,3.03,5.52,3.03,5.51,-5.50,-5.93,-4.29,-2.47,-2.47,-2.49
182.13,2.97,5.49,2.97,5.49,-5.50,-5.93,-4.31,-2.54,-2.53,-2.52
183.95,2.91,5.47,2.92,5.48,-5.51,-5.93,-4.34,-2.60,-2.59,-2.55
185.79,2.90,5.49,2.90,5.49,-5.52,-5.92,-4.37,-2.62,-2.62,-2.59
187.65,2.89,5.51,2.88,5.51,-5.52,-5.91,-4.40,-2.64,-2.64,-2.62
189.52,2.87,5.54,2.87,5.54,-5.53,-5.90,-4.44,-2.65,-2.65,-2.66
191.42,2.86,5.55,2.86,5.56,-5.53,-5.89,-4.47,-2.67,-2.67,-2.69
193.33,2.84,5.58,2.84,5.57,-5.54,-5.87,-4.51,-2.70,-2.70,-2.73
195.27,2.81,5.58,2.80,5.57,-5.55,-5.85,-4.56,-2.74,-2.75,-2.77
197.22,2.75,5.55,2.74,5.55,-5.56,-5.82,-4.60,-2.81,-2.82,-2.81
199.19,2.68,5.52,2.69,5.53,-5.56,-5.80,-4.65,-2.88,-2.87,-2.83
201.18,2.66,5.53,2.67,5.53,-5.56,-5.77,-4.70,-2.90,-2.89,-2.87
203.19,2.66,5.55,2.66,5.55,-5.55,-5.74,-4.75,-2.89,-2.89,-2.90
205.23,2.66,5.58,2.64,5.57,-5.54,-5.70,-4.80,-2.88,-2.90,-2.92
207.28,2.61,5.56,2.61,5.55,-5.53,-5.67,-4.86,-2.92,-2.93,-2.95
209.35,2.55,5.53,2.55,5.53,-5.52,-5.63,-4.91,-2.98,-2.97,-2.98
211.44,2.48,5.48,2.49,5.49,-5.51,-5.59,-4.97,-3.03,-3.02,-3.00
213.56,2.45,5.47,2.45,5.48,-5.50,-5.55,-5.02,-3.05,-3.05,-3.03
215.69,2.42,5.47,2.42,5.47,-5.47,-5.50,-5.08,-3.06,-3.06,-3.05
217.85,2.39,5.46,2.38,5.46,-5.45,-5.46,-5.13,-3.06,-3.07,-3.07
220.03,2.33,5.43,2.33,5.43,-5.41,-5.41,-5.18,-3.08,-3.08,-3.10
222.23,2.27,5.39,2.27,5.40,-5.38,-5.36,-5.23,-3.11,-3.11,-3.13
224.45,2.21,5.35,2.21,5.35,-5.35,-5.31,-5.27,-3.14,-3.14,-3.15
226.70,2.14,5.31,2.14,5.30,-5.31,-5.26,-5.32,-3.17,-3.17,-3.17
228.96,2.07,5.25,2.07,5.26,-5.27,-5.20,-5.35,-3.20,-3.20,-3.18
231.25,2.01,5.21,2.01,5.21,-5.22,-5.15,-5.39,-3.21,-3.21,-3.20
233.57,1.96,5.18,1.96,5.18,-5.18,-5.09,-5.42,-3.22,-3.21,-3.22
235.90,1.91,5.14,1.90,5.14,-5.13,-5.03,-5.44,-3.22,-3.22,-3.24
238.26,1.85,5.10,1.84,5.09,-5.08,-4.98,-5.46,-3.23,-3.24,-3.26
240.64,1.77,5.02,1.77,5.03,-5.03,-4.92,-5.47,-3.26,-3.26,-3.25
243.05,1.69,4.96,1.69,4.97,-4.98,-4.86,-5.47,-3.29,-3.29,-3.27
245.48,1.62,4.91,1.63,4.91,-4.93,-4.80,-5.47,-3.31,-3.30,-3.29
247.93,1.57,4.88,1.57,4.87,-4.87,-4.74,-5.46,-3.30,-3.30,-3.31
250.41,1.52,4.82,1.51,4.82,-4.81,-4.68,-5.44,-3.29,-3.30,-3.31
252.92,1.45,4.76,1.44,4.76,-4.74,-4.62,-5.42,-3.29,-3.30,-3.31
255.45,1.36,4.69,1.36,4.68,-4.67,-4.56,-5.38,-3.32,-3.32,-3.33
258.00,1.27,4.60,1.27,4.61,-4.61,-4.49,-5.34,-3.34,-3.34,-3.34
260.58,1.18,4.53,1.18,4.53,-4.54,-4.43,-5.30,-3.35,-3.35,-3.34
263.19,1.11,4.46,1.11,4.45,-4.47,-4.37,-5.24,-3.36,-3.36,-3.35
265.82,1.03,4.39,1.03,4.39,-4.40,-4.31,-5.18,-3.37,-3.37,-3.35
268.48,0.96,4.32,0.96,4.32,-4.33,-4.25,-5.12,-3.37,-3.36,-3.36
271.16,0.90,4.26,0.90,4.26,-4.26,-4.18,-5.04,-3.36,-3.36,-3.37
273.87,0.83,4.20,0.83,4.20,-4.19,-4.12,-4.97,-3.36,-3.36,-3.37
276.61,0.76,4.13,0.75,4.13,-4.12,-4.06,-4.88,-3.37,-3.37,-3.38
279.38,0.68,4.07,0.68,4.06,-4.05,-4.00,-4.80,-3.38,-3.38,-3.39
282.17,0.60,3.98,0.60,3.98,-3.98,-3.94,-4.71,-3.38,-3.38,-3.39
284.99,0.52,3.90,0.52,3.90,-3.90,-3.88,-4.61,-3.38,-3.38,-3.38
287.84,0.44,3.82,0.44,3.82,-3.82,-3.82,-4.52,-3.38,-3.38,-3.37
290.72,0.37,3.76,0.37,3.75,-3.75,-3.76,-4.42,-3.38,-3.38,-3.39
293.63,0.29,3.67,0.29,3.67,-3.67,-3.70,-4.32,-3.38,-3.38,-3.38
296.57,0.21,3.58,0.21,3.59,-3.59,-3.64,-4.22,-3.39,-3.39,-3.38
299.53,0.13,3.51,0.13,3.51,-3.52,-3.58,-4.12,-3.39,-3.39,-3.38
302.53,0.07,3.44,0.07,3.44,-3.45,-3.52,-4.01,-3.38,-3.38,-3.37
305.55,0.01,3.38,0.00,3.38,-3.38,-3.46,-3.91,-3.38,-3.38,-3.38
308.61,-0.06,3.31,-0.06,3.31,-3.31,-3.41,-3.81,-3.37,-3.37,-3.37
311.69,-0.12,3.25,-0.12,3.25,-3.24,-3.35,-3.70,-3.36,-3.36,-3.37
314.81,-0.19,3.18,-0.19,3.18,-3.17,-3.29,-3.60,-3.36,-3.36,-3.37
317.96,-0.26,3.11,-0.26,3.11,-3.10,-3.24,-3.50,-3.36,-3.36,-3.37
321.14,-0.34,3.02,-0.34,3.02,-3.03,-3.18,-3.40,-3.37,-3.37,-3.36
324.35,-0.42,2.95,-0.41,2.94,-2.96,-3.13,-3.31,-3.38,-3.37,-3.37
327.59,-0.49,2.86,-0.48,2.87,-2.89,-3.08,-3.21,-3.38,-3.37,-3.35
330.87,-0.54,2.81,-0.54,2.81,-2.82,-3.02,-3.11,-3.36,-3.36,-3.35
334.18,-0.59,2.76,-0.59,2.75,-2.74,-2.97,-3.02,-3.33,-3.34,-3.35
337.52,-0.65,2.69,-0.66,2.69,-2.67,-2.92,-2.93,-3.33,-3.33,-3.34
340.90,-0.73,2.61,-0.73,2.61,-2.59,-2.87,-2.84,-3.33,-3.32,-3.34
